"","Acanthocyclops_robustus","Ascomorpha_ecaudis","Asellus_aquaticus","Chaetogaster_diastrophus","Chironomidae","Chydorus_brevilabris","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cyclopidae","Cyclops","Cypridopsis_vidua","Daphnia","Daphniidae","Decapoda","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diplostomum","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Eubosmina_coregoni","Euchlanis_dilatata","Eucyclops_cf._serrulatus_ZISP_11SNM-532","Eucyclops_macrurus","Eucypris_virens","Eudiaptomus_gracilis","Eurycercus_lamellatus","Eurytemora_affinis","Gammarus_zaddachi","Harmonia_axyridis","Hemiptera","Homo_sapiens","Hydra","Hydra_oligactis","Hymenoptera","Isopoda","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lumbricus_terrestris","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Osmia_bicornis","Oxyethira_flavicornis","Paraphysomonas_sp.","Philodina_citrina","Plectus_aquatilis","Ploima","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polyarthra_sp._UO-2013","Porcellio_scaber","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Spongillida","Stylaria_lacustris","Synchaeta_grandis","Synchaeta_pectinata","Tanytarsus"
"CH603.pl1.6.3.nc.blast",0,0,0,0,0,0,0,0.169038619556286,0.828594905505341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203779786359901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH604.pl1.6.4.nc.blast",0,0,0,0,0,0,0,0.94352,0.05408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH605.pl1.6.5.nc.blast",0,0,0,0,0,0,0,0.892281594571671,0.106488549618321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH606.pl1.6.6.nc.blast",0,0,0,0,0,0,0,0.859404047378765,0.139692994104212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000902958517023424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH607.pl1.6.7.nc.blast",0,0,0,0,0,0,0,0.922190385227635,0.0760904170646291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171919770773639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH608.pl1.6.8.nc.blast",0,0,0,0,0,0,0,0.907627666451196,0.0908855850032321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000840336134453782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH609.pl1.7.1.nc.blast",0,0,0,0,0,0,0,0.990461049284579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918565624447977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH610.pl1.7.2.nc.blast",0,0,0,0,0,0,0,0.987652484379649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114549241297233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eCH2.pl3.7.2.nc.blast",0,0.00711548987411056,0,0,0,0,0,0,0,0.693682070529361,0,0,0,0.00539526155289702,0,0,0.000508249276722183,0,0,0,0,0,0,0,0,0,0.000781921964187974,0,0,0,0,0,0,0,0,0,0,0.0383532723434201,0,0,0,0,0,0,0,0,0,0,0,0.170458988192978,0.0251778872468528,0,0,0.00089921025881617,0,0,0,0,0.0433184768160138,0.0130190007037298,0
"eCH3.pl3.7.3.nc.blast",0,0,0,0,0,0,0,0,0,0.415486611740474,0.006629763130793,0,0,0.0735066941297631,0,0.0574794026776519,0.00154479917610711,0,0,0,0,0,0,0,0,0,0.00141606591143151,0.00392636457260556,0,0,0,0,0,0,0.000450566426364573,0,0,0.000772399588053553,0,0,0,0,0,0,0.000450566426364573,0,0,0,0,0.0158341915550978,0.00386199794026777,0,0,0,0,0.417031410916581,0,0,0,0.000965499485066941,0
"eCH4.pl3.7.4.nc.blast",0.00112964893986792,0,0,0,0,0,0,0,0,0.695603058741745,0,0.000955856795272854,0,0.00477928397636427,0,0,0.00286757038581856,0,0.0199860966284324,0,0,0.0026937782412235,0,0,0.0384080639555092,0,0.0046054918317692,0,0,0,0,0,0,0,0.000521376433785193,0,0,0.00521376433785193,0,0,0,0.00199860966284324,0,0,0,0,0,0,0.0101668404588113,0.183698296836983,0.00912408759124088,0.00130344108446298,0,0.000608272506082725,0,0.00112964893986792,0.000955856795272854,0,0.00851581508515815,0.00399721932568648,0
"eCH5.pl3.7.5.nc.blast",0,0.000828043058239028,0,0.00358818658570246,0.00110405741098537,0,0,0,0,0.459011868617168,0,0.188793817278498,0.00331217223295611,0.0463704112613856,0,0,0.00745238752415126,0,0.000552028705492686,0.00276014352746343,0,0,0.0140767319900635,0.0471984543196246,0,0.0621032293679271,0,0,0,0,0,0,0,0.000552028705492686,0.0077284018768976,0,0,0.00110405741098537,0,0.00248412917471709,0,0.00220811482197074,0.000552028705492686,0,0,0.00165608611647806,0.000552028705492686,0.000828043058239028,0,0.0303615788020977,0.000828043058239028,0,0,0.0245652773944245,0,0.0888766215843224,0,0,0.000552028705492686,0,0
